Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=17.55 Safe; strong EBIT/TA; low D/E.
MNST,1.00,3,Z″=11.16 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=11.29 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=11.95 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=13.09 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.85 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=9.75 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=9.19 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=9.54 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.45 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.25 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.23 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=7.00 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=6.68 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.52 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=6.13 Safe; strong EBIT/TA; low D/E.
MU,1.00,3,Z″=6.13 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=6.26 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=6.03 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=10.37 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=6.44 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=7.25 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.45 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.52 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=6.13 Safe; strong EBIT/TA; low D/E.
MU,1.00,3,Z″=6.13 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=6.26 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=6.03 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=10.37 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=6.44 Safe; strong EBIT/TA; low D/E.
